06.11.2023 - 17:34:45 | Change event (2): sight:1 -> disabled
06.11.2023 - 17:34:45 | Change event (2): portal:1 -> enabled
06.11.2023 - 17:34:45 | Action: activate_status -> slime
06.11.2023 - 17:35:57 | Starting game
06.11.2023 - 17:35:58 | Initializing new game
06.11.2023 - 17:36:00 | Action: enter_room -> 1
06.11.2023 - 17:36:00 | Action: change_position -> e
06.11.2023 - 17:38:17 | Starting game
06.11.2023 - 17:38:18 | Initializing new game
06.11.2023 - 17:38:20 | Action: enter_room -> 1
06.11.2023 - 17:38:20 | Action: change_position -> e
06.11.2023 - 17:39:22 | Starting game
06.11.2023 - 17:39:23 | Initializing new game
06.11.2023 - 17:39:25 | Action: enter_room -> 1
06.11.2023 - 17:39:25 | Action: change_position -> e
06.11.2023 - 17:39:54 | Starting game
06.11.2023 - 17:39:55 | Initializing new game
06.11.2023 - 17:39:57 | Action: enter_room -> 1
06.11.2023 - 17:39:57 | Action: change_position -> e
06.11.2023 - 17:41:05 | Starting game
06.11.2023 - 17:41:06 | Initializing new game
06.11.2023 - 17:41:08 | Action: enter_room -> 1
06.11.2023 - 17:41:08 | Action: change_position -> e
06.11.2023 - 17:41:55 | Starting game
06.11.2023 - 17:41:56 | Initializing new game
06.11.2023 - 17:41:57 | Action: enter_room -> 1
06.11.2023 - 17:41:57 | Action: change_position -> e
06.11.2023 - 17:42:10 | Change event (1): interactable:1 -> disabled
06.11.2023 - 17:42:10 | Change event (2): sight:2 -> enabled
06.11.2023 - 17:42:10 | Change event (2): sight:1 -> disabled
06.11.2023 - 17:42:10 | Change event (2): portal:1 -> enabled
06.11.2023 - 17:42:10 | Action: activate_status -> slime
06.11.2023 - 17:42:35 | Starting game
06.11.2023 - 17:42:36 | Initializing new game
06.11.2023 - 17:42:38 | Action: enter_room -> 1
06.11.2023 - 17:42:38 | Action: change_position -> e
06.11.2023 - 17:42:54 | Starting game
06.11.2023 - 17:42:55 | Initializing new game
06.11.2023 - 17:42:57 | Action: enter_room -> 1
06.11.2023 - 17:42:57 | Action: change_position -> e
06.11.2023 - 17:43:21 | Starting game
06.11.2023 - 17:43:22 | Initializing new game
06.11.2023 - 17:43:24 | Action: enter_room -> 1
06.11.2023 - 17:43:24 | Action: change_position -> e
06.11.2023 - 17:44:01 | Starting game
